ELF Code,Country of formation,Country Code (ISO 3166-1),Jurisdiction of formation,Country sub-division code (ISO 3166-2),Entity Legal Form name Local name,Language,Language Code (ISO 639-1),Entity Legal Form name Transliterated name (per ISO 01-140-10),Abbreviations Local language,Abbreviations transliterated,Date created YYYY-MM-DD (ISO 8601),ELF Status ACTV/INAC,Modification,Modification date YYYY-MM-DD (ISO 8601),Reason
6B39,Jordan,JO,,,الشركة ذات المسؤولية المحدودة,Arabic,ar,alsharika zat almasuwliat almahduda,ذ.م.م,,11/19/2020,ACTV,,,
6KSC,Jordan,JO,,,شركة التوصية البسيطة,Arabic,ar,sharikat altawsia albasita,توصية بسيطة,,11/19/2020,ACTV,,,
9NBN,Jordan,JO,,,شركة التضامن,Arabic,ar,sharikat altadamun,,,11/19/2020,ACTV,,,
BL60,Jordan,JO,,,الشركة المساهمة العامة,Arabic,ar,alsharika almusahama aleama,ش.م.ع,,11/19/2020,ACTV,,,
FZAC,Jordan,JO,,,الشركة المساهمة الخاصة,Arabic,ar,alsharika almusahama alkhasa,ش.م.خ,,11/19/2020,ACTV,,,
IXQK,Jordan,JO,,,شركة التوصية بالأسهم,Arabic,ar,sharikat altawsia bial'ashum,,,11/19/2020,ACTV,,,
SAST,Jordan,JO,,,الشركة التي لا تهدف لتحقيق الربح,Arabic,ar,alsharika alty la tahdof litahqiq alribh,لا تهدف لتحقيق الربح,,11/19/2020,ACTV,,,
12KO,"Korea, the Republic of",KR,,,회사형 펀드,Korean,kr,HoeSaHyeong fund,,,6/10/2020,ACTV,text adjusted,9/23/2021,adjustment of name of legal form
5RCH,"Korea, the Republic of",KR,,,주식회사,Korean,kr,JuSikHoeSa,㈜,(Ju),6/10/2020,ACTV,,,
AHJG,"Korea, the Republic of",KR,,,조합형 펀드,Korean,kr,JoHabHyeong fund,,,6/10/2020,ACTV,text adjusted,9/23/2021,adjustment of name of legal form
AKF5,"Korea, the Republic of",KR,,,재단법인,Korean,kr,JaeDanBeobIn,,,6/10/2020,ACTV,,,
AXEQ,"Korea, the Republic of",KR,,,합명회사,Korean,kr,HabMyeongHoeSa,,,6/10/2020,ACTV,,,
BW92,"Korea, the Republic of",KR,,,합자회사,Korean,kr,HabJaHoeSa,,,6/10/2020,ACTV,,,
EO0G,"Korea, the Republic of",KR,,,변액보험,Korean,kr,ByeonAcBoHeom,,,9/23/2021,ACTV,,,
GF7G,"Korea, the Republic of",KR,,,개인사업자,Korean,kr,GaeInSaEopJa,,,9/23/2021,ACTV,,,
J3U5,"Korea, the Republic of",KR,,,유한회사,Korean,kr,YuHanHoeSa,(유),(Yu),6/10/2020,ACTV,,,
QU16,"Korea, the Republic of",KR,,,국가(정부),Korean,kr,GukGa(JeoungBu),,,6/10/2020,ACTV,,,
UDJG,"Korea, the Republic of",KR,,,유한책임회사,Korean,kr,YuHanChaekImHoeSa,,,6/10/2020,ACTV,,,
UGVB,"Korea, the Republic of",KR,,,신탁형 펀드,Korean,kr,SinTakHyeong fund,,,6/10/2020,ACTV,text adjusted,9/23/2021,adjustment of name of legal form
VTH4,"Korea, the Republic of",KR,,,비영리 사단법인,Korean,kr,BiYeongRi SaDanBeobIn,,,6/10/2020,ACTV,,,
WUJC,"Korea, the Republic of",KR,,,공공단체,Korean,kr,GongGongDanChe,,,6/10/2020,ACTV,,,
3YUD,Kosovo,XK,,,Ndërmarrjet shoqërore nën administrimin e Agjencisë Kosovare të Privatizimit,Albanian,sq,Ndërmarrjet shoqërore nën administrimin e Agjencisë Kosovare të Privatizimit,NSH,,7/5/2019,ACTV,,,
B56A,Kosovo,XK,,,Zyra e Përfaqësisë së Shoqërisë së Huaj Tregtare në Kosovë,Albanian,sq,Zyra e Përfaqësisë së Shoqërisë së Huaj Tregtare në Kosovë,,,7/5/2019,ACTV,,,
CRX3,Kosovo,XK,,,Kooperativa Bujqësore,Albanian,sq,Kooperativa Bujqësore,KB,,7/5/2019,ACTV,,,
D37H,Kosovo,XK,,,Shoqëri me Përgjegjësi të Kufizuar,Albanian,sq,Shoqëri me Përgjegjësi të Kufizuar,SHPK,,7/5/2019,ACTV,,,
OZDY,Kosovo,XK,,,Dega e Shoqërisë së Huaj Tregtare në Kosovë,Albanian,sq,Dega e Shoqërisë së Huaj Tregtare në Kosovë,Kompani e Huaj,,7/5/2019,ACTV,,,
Q22D,Kosovo,XK,,,Shoqëri aksionare,Albanian,sq,Shoqëri aksionare,SHA,,7/5/2019,ACTV,,,
QZEN,Kosovo,XK,,,Biznes Individual,Albanian,sq,Biznes Individual,BI,,7/5/2019,ACTV,,,
T2X0,Kosovo,XK,,,Ortakëri e Përgjithshme,Albanian,sq,Ortakëri e Përgjithshme,OP,,7/5/2019,ACTV,,,
W5H8,Kosovo,XK,,,Ndërmarrjet publike sipas ligjit në fuqi për ndërmarrjet publike,Albanian,sq,Ndërmarrjet publike sipas ligjit në fuqi për ndërmarrjet publike,NP,,7/5/2019,ACTV,,,
W7KV,Kosovo,XK,,,Ortakëri e Kufizuar,Albanian,sq,Ortakëri e Kufizuar,OK,,7/5/2019,ACTV,,,
1IPK,Latvia,LV,,,Komandītsabiedrība,Latvian,lv,Komandītsabiedrība,KS,,11/30/2017,ACTV,,,
3LCY,Latvia,LV,,,Pilnsabiedrība,Latvian,lv,Pilnsabiedrība,PS,,11/30/2017,ACTV,,,
5ULL,Latvia,LV,,,Eiropas Ekonomisko interešu grupa,Latvian,lv,Eiropas Ekonomisko interešu grupa,EEIG,,9/23/2021,ACTV,,,
AZTM,Latvia,LV,,,Eiropas komercsabiedrība,Latvian,lv,Eiropas komercsabiedrība,SE,,11/30/2017,ACTV,,,
BS22,Latvia,LV,,,Individuālais komersants,Latvian,lv,Individuālais komersants,IK,,11/30/2017,ACTV,,,
